ab_group,resource_category,resource,unit,action,spend_context,spend_detail,player_days,spender_days,spend_events,amount_spent,amount_spent_free,amount_spent_paid,amount_per_active_player_day,pct_of_resource_spent
Variant,powerup,powerup_2,items,in_game_use,saga,in_level,4054.0,3554.0,20877.0,20877.0,,,5.15,99.99
Variant,powerup,powerup_2,items,in_game_use,dream_peak,in_level,4054.0,1.0,2.0,2.0,,,0.0,0.01
Variant,powerup,powerup_3,items,in_game_use,saga,in_level,4054.0,3531.0,23138.0,23138.0,,,5.707,100.0
Variant,powerup,powerup_3,items,in_game_use,dream_peak,in_level,4054.0,1.0,1.0,1.0,,,0.0,0.0
Variant,pre_level_booster,pre_level_booster_1,items,in_game_use,saga,in_level,4054.0,3123.0,15171.0,15171.0,,,3.742,99.99
Variant,pre_level_booster,pre_level_booster_1,items,in_game_use,dream_peak,in_level,4054.0,1.0,2.0,2.0,,,0.0,0.01
Variant,pre_level_booster,pre_level_booster_2,items,in_game_use,saga,in_level,4054.0,2942.0,16475.0,16475.0,,,4.064,99.98
Variant,pre_level_booster,pre_level_booster_2,items,in_game_use,dream_peak,in_level,4054.0,1.0,3.0,3.0,,,0.001,0.02
Variant,pre_level_booster,pre_level_booster_3,items,in_game_use,saga,in_level,4054.0,2877.0,12743.0,12743.0,,,3.143,99.98
Variant,pre_level_booster,pre_level_booster_3,items,in_game_use,dream_peak,in_level,4054.0,1.0,2.0,2.0,,,0.0,0.02
Variant,ul_pre_booster,UnlimitedBooster1,items,in_game_use,saga,in_level,4054.0,2548.0,48638.0,48638.0,,,11.998,100.0
Variant,ul_pre_booster,UnlimitedBooster2,items,in_game_use,saga,in_level,4054.0,2267.0,33898.0,33898.0,,,8.362,100.0
Variant,ul_pre_booster,UnlimitedBooster3,items,in_game_use,saga,in_level,4054.0,1218.0,15652.0,15652.0,,,3.861,100.0
Variant,unlimited_lives,UnlimitedLives,items,in_game_use,saga,in_level,4054.0,1.0,2.0,2.0,,,0.0,100.0
