event_name,payer_flag,segment,seg_rank,n_instances,active_window_player_instances,avg_participants_per_instance,participation_rate,opt_in_rate,recipient_rate,position_p25,position_p50,position_p75,avg_final_token_balance,avg_bots,final_balance_p25,final_balance_p50,final_balance_p75
Jigsaw,PAYER,100+,5,2,248,59.0,0.4758,0.4879,0.4153,,,,1191.8,,781.0,1207.875,1600.0
Kite Festival,NONPAYER,0-9,1,31,716738,122.0,0.0053,0.036,0.0,21,36,48,5027.3,0.0,10.484886947703481,208.46815261707093,2386.2213117419437
Kite Festival,PAYER,0-9,1,31,73712,35.0,0.0148,0.0503,0.0,23,39,49,5702.0,0.0,93.41517857142858,371.1592152582455,4031.24613371866
Kite Festival,NONPAYER,10-19,2,31,430841,179.0,0.0128,0.0414,0.0,16,29,41,11555.5,0.0,201.0813052352624,3034.5971299657863,13167.15098238058
Kite Festival,PAYER,10-19,2,31,45639,41.0,0.0275,0.0528,0.0,18,28,41,15532.2,0.0,637.3404649216009,5362.836928104575,18071.8504119189
Kite Festival,NONPAYER,20-39,3,31,336898,202.0,0.0186,0.0426,0.0,12,21,36,23071.1,0.0,1092.1563023801546,8799.289054305533,28025.461620759408
Kite Festival,PAYER,20-39,3,31,36020,38.0,0.033,0.051,0.0,10,19,33,33358.1,0.0,4439.72650862069,18405.902678963554,44231.081989247316
Kite Festival,NONPAYER,40-99,4,31,184055,155.0,0.0261,0.044,0.0,6,14,30,51769.3,0.0,2916.438615104885,19780.61379085418,68478.5949878657
Kite Festival,PAYER,40-99,4,31,24330,30.0,0.0382,0.051,0.0,5,11,22,73712.2,0.0,12870.086170212768,42843.21150519031,104423.99824016565
Kite Festival,NONPAYER,100+,5,31,24550,26.0,0.0328,0.0454,0.0,2,5,17,109150.5,0.0,11758.38162464986,51744.171584880634,160965.06581864864
Kite Festival,PAYER,100+,5,31,4361,7.0,0.0468,0.0534,0.0,2,4,12,111585.4,0.0,24370.358333333334,73119.88181818182,169570.0
Level Race,NONPAYER,0-9,1,2,19232,4.0,0.0004,0.0009,0.0,9,14,14,11.1,0.0,3.0,5.0,9.0
Level Race,PAYER,0-9,1,2,3194,5.0,0.0031,0.0038,0.0,9,11,16,8.3,0.0,1.0,5.0,7.0
Level Race,NONPAYER,10-19,2,2,14681,7.0,0.0009,0.001,0.0,6,8,12,9.8,0.0,7.0,10.0,14.0
Level Race,PAYER,10-19,2,2,2155,5.0,0.0042,0.0046,0.0,1,3,9,11.3,0.0,1.0,3.0,18.0
Level Race,NONPAYER,20-39,3,2,12086,4.0,0.0007,0.0007,0.0,2,2,6,35.0,0.0,14.0,17.0,84.0
Level Race,PAYER,20-39,3,2,1679,1.0,0.0012,0.0018,0.0,6,14,14,22.5,0.0,7.0,38.0,38.0
Level Race,NONPAYER,40-99,4,2,7132,6.0,0.0015,0.0018,0.0,2,3,6,34.7,0.0,14.0,22.0,68.0
Level Race,PAYER,40-99,4,2,1121,2.0,0.0027,0.0027,0.0,1,1,2,85.7,0.0,48.0,100.0,109.0
Level Race,NONPAYER,100+,5,2,1068,0.0,0.0,0.0009,,,,,,,,,
Level Race,PAYER,100+,5,2,223,1.0,0.0045,0.0,0.0,1,1,1,196.0,0.0,196.0,196.0,196.0
Milestone,NONPAYER,0-9,1,3,54010,6615.0,0.3674,0.8583,0.7423,,,,1475.0,,485.40567999741046,971.7944295398661,1814.1061095361354
Milestone,PAYER,0-9,1,3,6408,1816.0,0.85,0.941,0.888,,,,1662.2,,536.57945041816,1090.5703730532414,2180.1800640717997
Milestone,NONPAYER,10-19,2,3,34223,7071.0,0.6198,0.898,0.7823,,,,3077.3,,847.4302064397866,1949.5143839822506,3970.2049071144743
Milestone,PAYER,10-19,2,3,4082,1270.0,0.9331,0.9525,0.8805,,,,3914.8,,1149.9084152179391,2506.450531126483,4929.416323614467
Milestone,NONPAYER,20-39,3,3,27022,6830.0,0.7583,0.9118,0.7781,,,,4878.4,,1225.7493962784106,2982.5522397784757,6483.318972697523
Milestone,PAYER,20-39,3,3,3054,958.0,0.9407,0.9528,0.8636,,,,6722.5,,1954.1266125179172,4215.130050375245,8338.856138195062
Milestone,NONPAYER,40-99,4,3,14519,4369.0,0.9027,0.9206,0.7984,,,,8283.9,,1803.0367197166688,4744.232681650248,9995.975347743573
Milestone,PAYER,40-99,4,3,2060,651.0,0.9476,0.9539,0.8955,,,,11566.2,,2623.5598214285715,6604.619894598156,13691.948028547202
Milestone,NONPAYER,100+,5,3,1922,552.0,0.8611,0.8757,0.8205,,,,23244.5,,4030.1190086509237,8938.39438965885,19569.413988657845
Milestone,PAYER,100+,5,3,328,99.0,0.9085,0.9146,0.8725,,,,27803.0,,4360.599999999999,11426.733333333334,23596.36111111111
Photoshoot,NONPAYER,0-9,1,1,19852,50.0,0.0025,0.0038,0.22,,,,260.9,,25.0,72.5,255.0
Photoshoot,PAYER,0-9,1,1,2053,22.0,0.0107,0.0122,0.2727,,,,242.6,,20.0,75.0,145.0
Photoshoot,NONPAYER,10-19,2,1,11820,38.0,0.0032,0.0039,0.5,,,,463.9,,66.0,250.0,683.0
Photoshoot,PAYER,10-19,2,1,1355,12.0,0.0089,0.0096,0.75,,,,187.8,,119.0,145.0,205.0
Photoshoot,NONPAYER,20-39,3,1,9104,47.0,0.0052,0.0054,0.4255,,,,1164.5,,164.0,454.5,1318.0
Photoshoot,PAYER,20-39,3,1,979,10.0,0.0102,0.0123,0.6,,,,1438.4,,175.0,390.0,2318.0
Photoshoot,NONPAYER,40-99,4,1,4748,18.0,0.0038,0.004,0.5556,,,,1414.1,,215.0,421.0,1942.0
Photoshoot,PAYER,40-99,4,1,681,6.0,0.0088,0.0103,0.6667,,,,1561.2,,154.0,605.0,1635.0
Photoshoot,NONPAYER,100+,5,1,619,1.0,0.0016,0.0032,0.0,,,,55.0,,55.0,55.0,55.0
Photoshoot,PAYER,100+,5,1,113,0.0,0.0,0.0088,,,,,,,,,
Red,NONPAYER,0-9,1,5,57621,2006.0,0.174,0.3632,0.0,7,12,16,100.3,0.0,28.06939466413306,68.3956365321823,138.838075463341
Red,PAYER,0-9,1,5,8221,590.0,0.3586,0.3851,0.0,8,13,16,113.7,0.0,33.81955561448439,83.19457936406492,158.81802815169956
Red,NONPAYER,10-19,2,5,40404,2280.0,0.2821,0.3739,0.0,4,8,12,257.3,0.0,92.57941347270615,188.393378519291,334.5521556677588
Red,PAYER,10-19,2,5,5485,415.0,0.3787,0.3887,0.0,5,8,12,307.9,0.0,124.76332819722651,240.20176904546832,405.053497846764
Red,NONPAYER,20-39,3,5,32667,2207.0,0.3377,0.3706,0.0,3,5,9,462.5,0.0,153.80277105786266,353.92492662616894,649.1920793071647
Red,PAYER,20-39,3,5,4173,298.0,0.3568,0.3626,0.0,2,5,8,602.4,0.0,265.40100679341197,489.41197956577264,795.1399065519804
Red,NONPAYER,40-99,4,5,18408,1330.0,0.3614,0.3678,0.0,2,3,5,920.2,0.0,344.8816898546036,739.5845623609246,1300.0570107538267
Red,PAYER,40-99,4,5,2820,204.0,0.361,0.366,0.0,1,3,5,1096.6,0.0,458.1923076923078,956.0615694164991,1554.7432850241548
Red,NONPAYER,100+,5,5,2580,172.0,0.3341,0.3368,0.0,1,1,2,2023.2,0.0,931.038665038665,1753.373724489796,2842.935693935694
Red,PAYER,100+,5,5,506,34.0,0.334,0.3379,0.0,1,1,2,2182.5,0.0,951.6666666666666,1865.25,3063.0
River Rush,NONPAYER,0-9,1,1,24235,72.0,0.003,0.0422,0.3611,1,2,3,0.5,,0.0,0.0,0.0
River Rush,PAYER,0-9,1,1,2387,47.0,0.0197,0.0754,0.4255,1,2,3,0.7,,0.0,0.0,0.0
River Rush,NONPAYER,10-19,2,1,14101,69.0,0.0049,0.0325,0.3043,1,2,3,0.7,,0.0,0.0,0.0
River Rush,PAYER,10-19,2,1,1446,25.0,0.0173,0.0588,0.44,1,3,4,2.1,,0.0,0.0,3.0
River Rush,NONPAYER,20-39,3,1,10902,45.0,0.0041,0.0219,0.4,2,2,3,2.5,,0.0,0.0,2.0
River Rush,PAYER,20-39,3,1,1173,11.0,0.0094,0.0477,0.2727,1,2,3,0.1,,0.0,0.0,0.0
River Rush,NONPAYER,40-99,4,1,5786,21.0,0.0036,0.0161,0.2381,2,3,4,1.9,,0.0,0.0,3.0
River Rush,PAYER,40-99,4,1,823,15.0,0.0182,0.0522,0.6,2,3,3,1.0,,0.0,0.0,1.0
River Rush,NONPAYER,100+,5,1,744,1.0,0.0013,0.0054,0.0,,,,0.0,,0.0,0.0,0.0
River Rush,PAYER,100+,5,1,140,0.0,0.0,0.0214,,,,,,,,,
Season Pass Leaderboard,NONPAYER,0-9,1,9,62089,0.0,0.0,0.0,0.0,49,49,49,3737.0,0.0,3737.0,3737.0,3737.0
Season Pass Leaderboard,PAYER,0-9,1,9,11197,0.0,0.0,0.0,,,,,,,,,
Season Pass Leaderboard,NONPAYER,10-19,2,9,48972,0.0,0.0,0.0,0.0,18,18,18,,,,,
Season Pass Leaderboard,PAYER,10-19,2,9,7466,0.0,0.0,0.0,,,,,,,,,
Season Pass Leaderboard,NONPAYER,20-39,3,9,41291,0.0,0.0001,0.0,0.0,3,42,42,6126.7,0.0,72.0,8238.0,10070.0
Season Pass Leaderboard,PAYER,20-39,3,9,5613,0.0,0.0,0.0,,,,,,,,,
Season Pass Leaderboard,NONPAYER,40-99,4,9,24371,0.0,0.0,0.0,,,,,,,,,
Season Pass Leaderboard,PAYER,40-99,4,9,3865,0.0,0.0,0.0,,,,,,,,,
Season Pass Leaderboard,NONPAYER,100+,5,9,3308,0.0,0.0,0.0,,,,,,,,,
Season Pass Leaderboard,PAYER,100+,5,9,674,0.0,0.0,0.0,,,,,,,,,
Target Day,NONPAYER,0-9,1,12,115825,2720.0,0.2818,0.4269,0.0,5,10,14,176.0,1.0,1.0751558620941737,13.088437841834565,156.19422357028128
Target Day,PAYER,0-9,1,12,18860,815.0,0.5188,0.5415,0.0,7,11,15,165.5,0.0,1.0771096402697586,7.939278539032735,72.35669769588849
Target Day,NONPAYER,10-19,2,12,85179,2888.0,0.4069,0.4839,0.0,4,8,12,614.0,1.0,19.139029201655468,293.0922717750776,876.8491473534302
Target Day,PAYER,10-19,2,12,12259,547.0,0.5354,0.5477,0.0,4,8,13,645.0,0.0,10.99801586099057,208.53356875461353,919.4596366460837
Target Day,NONPAYER,20-39,3,12,69757,2822.0,0.4854,0.5188,0.0,3,6,10,1369.5,2.0,206.44537991977344,912.0292805972491,2020.5918582465883
Target Day,PAYER,20-39,3,12,9029,422.0,0.5605,0.5681,0.0,2,5,10,1594.8,0.0,177.9638008373481,975.7414600014965,2375.4825032938074
Target Day,NONPAYER,40-99,4,12,40687,1814.0,0.5351,0.5455,0.0,2,3,7,3304.5,2.0,1062.680959710081,2469.0820521998207,4619.229952785718
Target Day,PAYER,40-99,4,12,6210,308.0,0.5958,0.6006,0.0,1,3,7,3825.8,1.0,929.1962502693068,2827.8565767722475,5479.159839306391
Target Day,NONPAYER,100+,5,12,6080,272.0,0.5375,0.5456,0.0,1,1,3,8476.9,2.0,4138.873263426331,7229.318659822541,11468.722181887008
Target Day,PAYER,100+,5,12,1197,57.0,0.5706,0.5764,0.0,1,1,3,8896.0,2.0,3643.2907407407406,7635.711869525823,12339.769841269841
