segment,payer_flag,resource,action,spend_context,spend_events,spender_days,amount_spent,amount_spent_free,amount_spent_paid,spend_per_event,amount_per_active_player_day,pct_of_resource_spent
40-99,NONPAYER,HC,purchase_powerup,level_powerup,746,612,146800.0,146800.0,0.0,196.7828,2.7183,1.1
40-99,NONPAYER,HC,purchase_pre_level_booster,level_pre_level_booster,26,21,3850.0,3850.0,0.0,148.0769,0.0713,0.03
40-99,NONPAYER,HC,purchase_pre_level_booster,map_pre_level_booster,2085,129,324450.0,45600.0,278850.0,155.6115,6.0078,2.43
40-99,NONPAYER,HC,team_created,(none),70,68,10500.0,10200.0,300.0,150.0,0.1944,0.08
40-99,PAYER,HC,extra_moves,level_movesplus10,576,486,57600.0,41836.0,15764.0,100.0,6.5701,1.53
40-99,PAYER,HC,extra_moves,level_movesplus15,480,431,48000.0,32925.0,15075.0,100.0,5.4751,1.28
40-99,PAYER,HC,extra_moves,level_movesplus20,350,316,35000.0,24158.0,10842.0,100.0,3.9922,0.93
40-99,PAYER,HC,extra_moves,level_movesplus25,271,253,27100.0,18894.0,8206.0,100.0,3.0911,0.72
40-99,PAYER,HC,extra_moves,level_movesplus30,182,174,18200.0,12043.0,6157.0,100.0,2.076,0.48
40-99,PAYER,HC,extra_moves,level_movesplus35,154,151,15400.0,10873.0,4527.0,100.0,1.7566,0.41
40-99,PAYER,HC,extra_moves,level_movesplus40,120,113,12000.0,7873.0,4127.0,100.0,1.3688,0.32
40-99,PAYER,HC,extra_moves,level_movesplus45,96,92,9600.0,6810.0,2790.0,100.0,1.095,0.26
40-99,PAYER,HC,extra_moves,level_movesplus5,33972,7128,3397200.0,2262352.0,1134848.0,100.0,387.4986,90.46
40-99,PAYER,HC,extra_moves,level_movesplus50,678,581,67800.0,45937.0,21863.0,100.0,7.7335,1.81
40-99,PAYER,HC,purchase_lives,level_lives,492,307,24600.0,11345.0,13255.0,50.0,2.806,0.66
40-99,PAYER,HC,purchase_lives,map_lives,282,220,14100.0,5172.0,8928.0,50.0,1.6083,0.38
40-99,PAYER,HC,purchase_powerup,level_powerup,130,112,25200.0,16416.0,8784.0,193.8462,2.8744,0.67
40-99,PAYER,HC,purchase_pre_level_booster,level_pre_level_booster,4,3,700.0,530.0,170.0,175.0,0.0798,0.02
40-99,PAYER,HC,purchase_pre_level_booster,map_pre_level_booster,14,14,2350.0,1230.0,1120.0,167.8571,0.2681,0.06
40-99,PAYER,HC,team_created,(none),5,5,750.0,750.0,0.0,150.0,0.0855,0.02
