engagement_segment,payer_flag,resource,unit,category,resource_earners,recipients,recipient_rate_pct,pct_of_resource_pool,mean_share_all_earners_pct,category_amount,resource_pool_amount,amount_per_earner,amount_per_recipient,category_amount_uncorrected,resource_pool_amount_uncorrected,amount_per_earner_uncorrected
A. 0,PAYER,HC,HC,Flash Race,5989,97,1.62,0.64,0.78,3370.0,528013.84,0.5627,34.7423,3370.0,528885.0,0.5627
A. 0,PAYER,HC,HC,Rainbow Maker,5989,273,4.56,0.62,1.44,3278.84,528013.84,0.5475,12.0104,4150.0,528885.0,0.6929
A. 0,PAYER,HC,HC,Saga,5989,56,0.94,0.18,0.33,925.0,528013.84,0.1544,16.5179,925.0,528885.0,0.1544
A. 0,PAYER,HC,HC,Core,5989,26,0.43,0.18,0.19,975.0,528013.84,0.1628,37.5,975.0,528885.0,0.1628
A. 0,PAYER,HC,HC,Jigsaw,5989,26,0.43,0.17,0.2,875.0,528013.84,0.1461,33.6538,875.0,528885.0,0.1461
A. 0,PAYER,HC,HC,Bomb's Ballet,5989,21,0.35,0.11,0.11,575.0,528013.84,0.096,27.381,575.0,528885.0,0.096
A. 0,PAYER,HC,HC,Photoshoot,5989,6,0.1,0.04,0.01,200.0,528013.84,0.0334,33.3333,200.0,528885.0,0.0334
A. 0,PAYER,HC,HC,River Rush,5989,1,0.02,0.01,0.02,30.0,528013.84,0.005,30.0,30.0,528885.0,0.005
A. 0,PAYER,Red,count,Other,2882,1467,50.9,42.15,40.69,1954.0,4636.0,0.678,1.332,1954.0,4636.0,0.678
A. 0,PAYER,Red,count,Hatchling Hideaway,2882,721,25.02,17.13,18.13,794.0,4636.0,0.2755,1.1012,794.0,4636.0,0.2755
A. 0,PAYER,Red,count,Season Pass (Free),2882,456,15.82,12.75,10.42,591.0,4636.0,0.2051,1.2961,591.0,4636.0,0.2051
A. 0,PAYER,Red,count,Target Day,2882,549,19.05,12.64,15.35,586.0,4636.0,0.2033,1.0674,586.0,4636.0,0.2033
A. 0,PAYER,Red,count,Flock Flurry,2882,203,7.04,4.75,4.28,220.0,4636.0,0.0763,1.0837,220.0,4636.0,0.0763
