segment,payer_flag,currency,gain_per_active_player,spend_per_active_player,net_per_active_player,resource_earners,gain_per_earner,spend_per_earner,net_per_earner,gain_p25,gain_p50,gain_p75,gain_p90,spend_p25,spend_p50,spend_p75,spend_p90,net_p25,net_p50,net_p75,net_p90,player_days
20-39,NONPAYER,SPT,1115.06,0.0,1115.06,16866,1313.6632,0.0,1313.6632,59.2902,389.9194,1449.033,3350.3477,0.0,0.0,0.0,0.0,59.2902,389.9194,1449.033,3350.3477,97611
20-39,NONPAYER,SPTx2,7.2806,0.0,7.2806,7783,18.5873,0.0,18.5873,0.0,0.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,97611
20-39,PAYER,HC,2018.9311,2076.5757,-57.6446,1538,2020.2438,2077.9259,-57.6821,340.7339,1234.0902,2680.0196,4465.2588,361.3675,1263.4626,2651.7598,4543.2698,-102.0141,4.2556,111.3532,289.0198,12540
20-39,PAYER,Slingshot,17.5686,18.271,-0.7024,1502,18.0013,18.721,-0.7197,4.779,13.9679,28.352,38.803,3.7542,13.5802,29.2259,41.1928,-2.226,0.0268,2.1948,4.984,12540
20-39,PAYER,Shuffle,13.0962,14.4795,-1.3834,1462,13.7859,15.2421,-1.4562,2.7212,10.1596,20.9688,30.1134,2.6805,10.321,22.2978,33.0615,-2.3876,-0.013,1.2073,3.2213,12540
20-39,PAYER,Comet,6.7752,8.2619,-1.4867,1297,8.0393,9.8034,-1.7641,1.2443,4.9862,11.185,15.9941,1.557,5.7324,12.6667,18.3904,-2.009,0.0,0.5564,1.9958,12540
20-39,PAYER,Red,15.8207,19.3288,-3.5081,1532,15.893,19.4171,-3.5242,6.1688,13.8641,23.7851,31.3675,4.2234,15.1076,30.296,42.1245,-7.1747,-2.0298,2.1463,5.5959,12540
20-39,PAYER,Chuck,15.8519,17.9883,-2.1365,1525,15.9974,18.1534,-2.1561,6.5959,13.6113,23.9262,30.7619,4.0133,14.0523,28.8692,38.8582,-4.9507,-0.9161,2.8177,6.2634,12540
20-39,PAYER,Bomb,10.321,11.9526,-1.6316,1476,10.7615,12.4627,-1.7012,2.652,8.2055,16.2621,22.855,1.6585,8.18,18.7469,28.2133,-3.2975,-0.1964,1.1294,4.0,12540
20-39,PAYER,UL Bomb,15.4581,20.8272,-5.3691,698,34.0831,45.9212,-11.8381,0.0,0.0,22.1318,42.3773,0.0,3.437,22.3737,57.4083,-0.3913,0.0,2.3149,14.0855,12540
20-39,PAYER,UL Chuck,39.4607,32.4152,7.0455,1307,46.4652,38.1691,8.2961,12.9239,25.0072,58.1946,103.501,7.488,16.6343,38.4519,78.6656,0.0,6.3672,18.6396,49.2254,12540
20-39,PAYER,UL Red,68.655,45.1702,23.4847,1430,73.8881,48.6133,25.2748,20.324,52.4113,104.7273,157.897,11.3061,28.7763,59.0692,104.1792,3.8439,16.6949,41.01,78.4678,12540
20-39,PAYER,Unlimited Lives,1668.885,0.0006,1668.8843,1536,1672.1445,0.0007,1672.1439,486.7671,1238.5639,2677.759,3746.9271,0.0,0.0,0.0,0.0,486.7671,1238.5639,2677.759,3746.9271,12540
20-39,PAYER,SPT,2217.0474,0.0,2217.0474,1501,2273.1752,0.0,2273.1752,513.8499,1680.3669,3361.4942,4933.4552,0.0,0.0,0.0,0.0,513.8499,1680.3669,3361.4942,4933.4552,12540
20-39,PAYER,SPTx2,16.7316,0.0,16.7316,1090,23.6239,0.0,23.6239,0.5462,10.1814,20.0,40.0,0.0,0.0,0.0,0.0,0.5462,10.1814,20.0,40.0,12540
40-99,NONPAYER,HC,1342.5077,1304.7733,37.7344,10448,1343.2787,1305.5226,37.7561,295.9749,757.7237,1686.7195,3384.2146,294.4158,688.897,1640.7592,3341.8135,-124.6631,-7.1017,171.3218,489.2044,60115
40-99,NONPAYER,Slingshot,15.002,14.3078,0.6942,10353,15.1484,14.4474,0.701,4.005,9.6814,20.1856,36.8823,2.735,8.498,20.7489,36.7776,-2.5558,0.0723,2.7925,6.7945,60115
40-99,NONPAYER,Shuffle,12.8195,12.9462,-0.1267,9976,13.4337,13.5666,-0.1328,2.935,8.0376,16.908,32.8323,2.3805,6.9455,17.8105,32.1221,-2.6725,-0.2865,2.3642,6.2169,60115
40-99,NONPAYER,Comet,5.4973,7.1501,-1.6528,8194,7.0135,9.1222,-2.1086,0.8487,3.0327,7.1802,14.5479,2.0,4.866,9.4398,15.7071,-3.9038,-1.5859,0.0,1.9399,60115
40-99,NONPAYER,Red,13.623,12.6431,0.9799,10371,13.732,12.7443,0.9878,4.842,9.647,18.4346,30.7139,1.7302,6.1996,17.9824,34.105,-2.7462,1.8525,4.818,9.0706,60115
